scenario_id,hour,electric_load_kw,heat_load_kw,hydrogen_load_kg,grid_buy_kw,pv_used_kw,pv_curtail_kw,wind_used_kw,wind_curtail_kw,heat_pump_power_kw,heat_pump_heat_kw,is_heat_pump_on,gas_boiler_heat_kw,gas_consumption_m3,battery_charge_kw,battery_discharge_kw,battery_soc_kwh,is_battery_charging,is_battery_discharging,electrolyzer_power_kw,h2_production_kg,h2_charge_kg,h2_discharge_kg,h2_storage_kg,h2_external_supply_kg,h2_sale_kg,h2_fuel_cell_kg,fuel_cell_power_kw,is_fuel_cell_on,is_electrolyzer_on,carbon_emission_kg,power_balance_residual_kw,heat_balance_residual_kw,hydrogen_balance_residual_kg,fuel_cell_conversion_residual_kw
S0,0,5200.0,6200.0,0.0,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6200.0,687.6663708961844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4854.439361135759,0.0,0.0,0.0,0.0
S0,1,5000.0,6100.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6100.0,676.5749778172137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4700.901952085182,0.0,0.0,0.0,0.0
S0,2,4800.0,6000.0,0.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,665.483584738243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4547.364543034605,0.0,0.0,0.0,0.0
S0,3,4700.0,5900.0,0.0,4700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5900.0,654.3921916592723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4458.617133984028,0.0,0.0,0.0,0.0
S0,4,4800.0,5800.0,0.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5800.0,643.3007985803016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4499.449724933452,0.0,0.0,0.0,0.0
S0,5,5200.0,6000.0,0.0,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,665.483584738243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4806.524543034605,0.0,0.0,0.0,0.0
S0,6,6200.0,6500.0,0.0,6200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,720.9405501330966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5574.211588287489,0.0,0.0,0.0,0.0
S0,7,7000.0,7000.0,0.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,776.3975155279502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6212.3186335403725,0.0,0.0,0.0,0.0
S0,8,7600.0,6800.0,0.0,7600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6800.0,754.2147293700087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6553.143815439219,0.0,0.0,0.0,0.0
S0,9,8100.0,6000.0,0.0,8100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,665.483584738243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6685.434543034606,0.0,0.0,0.0,0.0
S0,10,8300.0,5200.0,0.0,8300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5200.0,576.7524401064773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6623.3552706299915,0.0,0.0,0.0,0.0
S0,11,8200.0,4800.0,0.0,8200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4800.0,532.3868677905945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6462.735634427684,0.0,0.0,0.0,0.0
S0,12,8000.0,4600.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4600.0,510.20408163265296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6285.240816326531,0.0,0.0,0.0,0.0
S0,13,7900.0,4600.0,0.0,7900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4600.0,510.20408163265296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6220.450816326531,0.0,0.0,0.0,0.0
S0,14,8000.0,4800.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4800.0,532.3868677905945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6333.155634427684,0.0,0.0,0.0,0.0
S0,15,8300.0,5200.0,0.0,8300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5200.0,576.7524401064773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6623.3552706299915,0.0,0.0,0.0,0.0
S0,16,8600.0,5700.0,0.0,8600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5700.0,632.2094055013308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6937.512315882875,0.0,0.0,0.0,0.0
S0,17,9000.0,6400.0,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6400.0,709.8491570541258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7364.374179236912,0.0,0.0,0.0,0.0
S0,18,8800.0,7000.0,0.0,8800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,776.3975155279502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7378.538633540373,0.0,0.0,0.0,0.0
S0,19,8200.0,7200.0,0.0,8200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7200.0,798.5803016858916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7037.713451641526,0.0,0.0,0.0,0.0
S0,20,7400.0,7000.0,0.0,7400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,776.3975155279502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6471.478633540372,0.0,0.0,0.0,0.0
S0,21,6500.0,6800.0,0.0,6500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6800.0,754.2147293700087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5840.453815439219,0.0,0.0,0.0,0.0
S0,22,5800.0,6500.0,0.0,5800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,720.9405501330966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5315.051588287489,0.0,0.0,0.0,0.0
S0,23,5400.0,6300.0,0.0,5400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6300.0,698.7577639751552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5007.976770186336,0.0,0.0,0.0,0.0
S1,0,5200.0,6200.0,0.0,1000.0,0.0,0.0,4200.0,0.0,0.0,0.0,0.0,6200.0,687.6663708961844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2133.2593611357584,0.0,0.0,0.0,0.0
S1,1,5000.0,6100.0,0.0,500.0,0.0,0.0,4500.0,0.0,0.0,0.0,0.0,6100.0,676.5749778172137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1785.351952085182,0.0,0.0,0.0,0.0
S1,2,4800.0,6000.0,0.0,0.0,0.0,0.0,4800.0,0.0,0.0,0.0,0.0,6000.0,665.483584738243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1437.444543034605,0.0,0.0,0.0,0.0
S1,3,4700.0,5900.0,0.0,0.0,0.0,0.0,4700.0,300.0,0.0,0.0,0.0,5900.0,654.3921916592723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1413.487133984028,0.0,0.0,0.0,0.0
S1,4,4800.0,5800.0,0.0,0.0,0.0,0.0,4800.0,400.0,0.0,0.0,0.0,5800.0,643.3007985803016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1389.5297249334515,0.0,0.0,0.0,0.0
S1,5,5200.0,6000.0,0.0,40.0,160.0,0.0,5000.0,0.0,0.0,0.0,0.0,6000.0,665.483584738243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1463.360543034605,0.0,0.0,0.0,0.0
S1,6,6200.0,6500.0,0.0,640.0,960.0,0.0,4600.0,0.0,0.0,0.0,0.0,6500.0,720.9405501330966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1971.8875882874888,0.0,0.0,0.0,0.0
S1,7,7000.0,7000.0,0.0,600.0,2400.0,0.0,4000.0,0.0,0.0,0.0,0.0,7000.0,776.3975155279502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2065.7586335403726,0.0,0.0,0.0,0.0
S1,8,7600.0,6800.0,0.0,0.0,4000.0,400.0,3600.0,0.0,0.0,0.0,0.0,6800.0,754.2147293700087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1629.103815439219,0.0,0.0,0.0,0.0
S1,9,8100.0,6000.0,0.0,0.0,4900.0,1100.0,3200.0,0.0,0.0,0.0,0.0,6000.0,665.483584738243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1437.444543034605,0.0,0.0,0.0,0.0
S1,10,8300.0,5200.0,0.0,0.0,5300.0,1740.0,3000.0,0.0,0.0,0.0,0.0,5200.0,576.7524401064773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1245.785270629991,0.0,0.0,0.0,0.0
S1,11,8200.0,4800.0,0.0,0.0,5400.0,2200.0,2800.0000000000005,0.0,0.0,0.0,0.0,4800.0,532.3868677905945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1149.9556344276841,0.0,0.0,0.0,0.0
S1,12,8000.0,4600.0,0.0,0.0,5000.0,2200.0,3000.0,0.0,0.0,0.0,0.0,4600.0,510.20408163265296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1102.0408163265304,0.0,0.0,0.0,0.0
S1,13,7900.0,4600.0,0.0,0.0,4500.0,1740.0,3400.0000000000005,0.0,0.0,0.0,0.0,4600.0,510.20408163265296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1102.0408163265304,0.0,0.0,0.0,0.0
S1,14,8000.0,4800.0,0.0,0.0,4200.0,440.0,3800.0,0.0,0.0,0.0,0.0,4800.0,532.3868677905945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1149.9556344276841,0.0,0.0,0.0,0.0
S1,15,8300.0,5200.0,0.0,1300.0,2800.0,0.0,4200.0,0.0,0.0,0.0,0.0,5200.0,576.7524401064773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2088.055270629991,0.0,0.0,0.0,0.0
S1,16,8600.0,5700.0,0.0,3240.0,960.0,0.0,4400.0,0.0,0.0,0.0,0.0,5700.0,632.2094055013308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3464.7683158828745,0.0,0.0,0.0,0.0
S1,17,9000.0,6400.0,0.0,4140.0,160.0,0.0,4700.0,0.0,0.0,0.0,0.0,6400.0,709.8491570541258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4215.580179236912,0.0,0.0,0.0,0.0
S1,18,8800.0,7000.0,0.0,3800.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,7000.0,776.3975155279502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4139.038633540373,0.0,0.0,0.0,0.0
S1,19,8200.0,7200.0,0.0,3000.0,0.0,0.0,5200.0,0.0,0.0,0.0,0.0,7200.0,798.5803016858916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3668.6334516415263,0.0,0.0,0.0,0.0
S1,20,7400.0,7000.0,0.0,1900.0,0.0,0.0,5500.0,0.0,0.0,0.0,0.0,7000.0,776.3975155279502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2908.0286335403725,0.0,0.0,0.0,0.0
S1,21,6500.0,6800.0,0.0,1100.0,0.0,0.0,5400.0,0.0,0.0,0.0,0.0,6800.0,754.2147293700087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2341.793815439219,0.0,0.0,0.0,0.0
S1,22,5800.0,6500.0,0.0,800.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,6500.0,720.9405501330966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2075.551588287489,0.0,0.0,0.0,0.0
S1,23,5400.0,6300.0,0.0,800.0,0.0,0.0,4600.0,0.0,0.0,0.0,0.0,6300.0,698.7577639751552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2027.6367701863353,0.0,0.0,0.0,0.0
S2,0,5200.0,6200.0,0.0,0.0,0.0,0.0,4200.0,0.0,0.0,0.0,0.0,6200.0,687.6663708961844,0.0,1000.0,3947.3684210526317,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1485.3593611357585,0.0,0.0,0.0,0.0
S2,1,5000.0,6100.0,0.0,0.0,0.0,0.0,4500.0,0.0,0.0,0.0,0.0,6100.0,676.5749778172137,0.0,500.0,3421.0526315789475,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1461.4019520851818,0.0,0.0,0.0,0.0
S2,2,4800.0,6000.0,0.0,0.0,0.0,0.0,4800.0,0.0,0.0,0.0,0.0,6000.0,665.483584738243,0.0,-0.0,3421.0526315789475,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1437.444543034605,0.0,0.0,0.0,0.0
S2,3,4700.0,5900.0,0.0,0.0,0.0,0.0,4700.0,300.0,0.0,0.0,0.0,5900.0,654.3921916592723,0.0,0.0,3421.0526315789475,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1413.487133984028,0.0,0.0,0.0,0.0
S2,4,4800.0,5800.0,0.0,0.0,0.0,0.0,4800.0,400.0,0.0,0.0,0.0,5800.0,643.3007985803016,0.0,0.0,3421.0526315789475,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1389.5297249334515,0.0,0.0,0.0,0.0
S2,5,5200.0,6000.0,0.0,0.0,160.0,0.0,5000.0,0.0,0.0,0.0,0.0,6000.0,665.483584738243,0.0,40.0,3378.947368421053,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1437.444543034605,0.0,0.0,0.0,0.0
S2,6,6200.0,6500.0,0.0,0.0,960.0,0.0,4600.0,0.0,0.0,0.0,0.0,6500.0,720.9405501330966,0.0,640.0,2705.263157894737,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1557.2315882874889,0.0,0.0,0.0,0.0
S2,7,7000.0,7000.0,0.0,0.0,2400.0,0.0,4000.0,0.0,0.0,0.0,0.0,7000.0,776.3975155279502,0.0,600.0,2073.684210526316,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1677.0186335403725,0.0,0.0,0.0,0.0
S2,8,7600.0,6800.0,0.0,0.0,4400.0,0.0,3600.0,0.0,0.0,0.0,0.0,6800.0,754.2147293700087,400.0,0.0,2453.684210526316,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1629.103815439219,0.0,0.0,0.0,0.0
S2,9,8100.0,6000.0,0.0,0.0,4900.0,1100.0,3200.0,0.0,0.0,0.0,0.0,6000.0,665.483584738243,0.0,0.0,2453.684210526316,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1437.444543034605,0.0,0.0,0.0,0.0
S2,10,8300.0,5200.0,0.0,0.0,6663.490304709141,376.5096952908589,3000.0,0.0,0.0,0.0,0.0,5200.0,576.7524401064773,1363.4903047091414,0.0,3749.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1245.785270629991,-2.2737367544323206e-13,0.0,0.0,0.0
S2,11,8200.0,4800.0,0.0,0.0,7600.0,0.0,2800.0000000000005,0.0,0.0,0.0,0.0,4800.0,532.3868677905945,2200.0,0.0,5839.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1149.9556344276841,0.0,0.0,0.0,0.0
S2,12,8000.0,4600.0,0.0,0.0,7200.0,0.0,3000.0,0.0,0.0,0.0,0.0,4600.0,510.20408163265296,2200.0,0.0,7929.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1102.0408163265304,0.0,0.0,0.0,0.0
S2,13,7900.0,4600.0,0.0,0.0,6240.0,0.0,3400.0000000000005,0.0,0.0,0.0,0.0,4600.0,510.20408163265296,1740.0,0.0,9582.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1102.0408163265304,0.0,0.0,0.0,0.0
S2,14,8000.0,4800.0,0.0,0.0,4640.0,0.0,3800.0,0.0,0.0,0.0,0.0,4800.0,532.3868677905945,440.0,0.0,10000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1149.9556344276841,0.0,0.0,0.0,0.0
